ID,Seller,Category,Locations,Price,Currency,Rooms,Area,Floor
2827728,Owner,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",89500,AZN,2,45.0,3
2760725,Agentlik,Yeni tikili,"['Binaqadi r.', 'Bilacari q.']",75653,AZN,2,72.1,2
2872711,Owner,Yeni tikili,['Narimanov r.'],155000,AZN,2,97.0,9
2881028,Agentlik,Yeni tikili,['Xatai r.'],86500,AZN,2,71.0,5
2898312,Owner,Kohna tikili,"['Nizami r.', '8-ci kilometr q.']",85000,AZN,2,45.0,2
2917316,Agentlik,Yeni tikili,"['Ganclik m.', 'Narimanov r.']",198000,AZN,3,107.0,14
2917314,Agentlik,Kohna tikili,"['Nasimi m.', 'Binaqadi r.', '6-ci mikrorayon q.']",75000,AZN,2,55.0,1
2377543,Owner,Kohna tikili,"['Ichari Shahar m.', 'Sabail r.']",520000,AZN,4,130.0,2
2870352,Agentlik,Yeni tikili,"['Nariman Narimanov m.', 'Narimanov r.']",158000,AZN,2,93.0,13
2917312,Agentlik,Kohna tikili,"['Yasamal r.', 'Yasamal q.']",155000,AZN,3,85.0,6
2917311,Owner,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.', 'Hazi Aslanov q.']",137000,AZN,2,90.0,14
2917310,Agentlik,Yeni tikili,['Narimanov r.'],115000,AZN,2,57.0,9
2817623,Agentlik,Yeni tikili,"['Azadliq Prospekti m.', 'Binaqadi r.', '8-ci mikrorayon q.']",260000,AZN,4,190.0,15
2817453,Agentlik,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",255000,AZN,4,180.0,6
2896406,Owner,Kohna tikili,"['Nizami m.', 'Yasamal r.']",80000,AZN,1,37.0,1
2917309,Owner,Yeni tikili,"['Absheron r.', 'Masazir q.']",65000,AZN,1,54.0,4
2893727,Owner,Yeni tikili,['Narimanov r.'],237000,AZN,3,96.0,12
2862293,Agentlik,Yeni tikili,"['Nizami m.', 'Yasamal r.']",390000,AZN,4,180.0,12
2886779,Agentlik,Yeni tikili,"['Xatai r.', 'Ahmadli q.']",86000,AZN,2,75.0,5
2917306,Agentlik,Yeni tikili,"['Sabunchu r.', 'Bakixanov q.']",76500,AZN,2,68.0,6
2917305,Owner,Kohna tikili,"['20 Yanvar m.', 'Nasimi r.', '1-ci mikrorayon q.']",77000,AZN,2,55.0,5
2917304,Agentlik,Kohna tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yeni Yasamal q.']",64000,AZN,2,45.0,1
2896285,Agentlik,Yeni tikili,['Narimanov r.'],184000,AZN,2,95.0,6
2897581,Agentlik,Kohna tikili,"['Neftchilar m.', 'Nizami r.', '8-ci kilometr q.']",90000,AZN,2,60.0,2
2904850,Agentlik,Yeni tikili,"['Nizami m.', 'Nasimi r.']",147000,AZN,1,73.0,5
2916145,Agentlik,Yeni tikili,['Xatai r.'],330000,AZN,4,187.0,10
2916165,Agentlik,Yeni tikili,['Sabail r.'],172000,AZN,3,139.0,10
2905177,Owner,Yeni tikili,"['20 Yanvar m.', 'Yasamal r.', 'Yasamal q.']",90000,AZN,2,45.0,1
2875192,Agentlik,Yeni tikili,"['Xatai r.', 'Ahmadli q.']",135000,AZN,3,95.0,6
2821928,Agentlik,Yeni tikili,['Narimanov r.'],203200,AZN,3,127.0,3
2877725,Owner,Yeni tikili,['Narimanov r.'],360000,AZN,3,167.0,15
1972642,Owner,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",270000,AZN,3,122.0,4
2917300,Owner,Yeni tikili,"['Sabunchu r.', 'Yeni Ramana q.']",90000,AZN,2,68.0,5
2917296,Owner,Yeni tikili,"['Absheron r.', 'Masazir q.']",52000,AZN,3,69.0,1
2917293,Agentlik,Yeni tikili,['Nasimi r.'],325000,AZN,4,141.0,15
2889254,Owner,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.', 'Ahmadli q.']",115000,AZN,2,68.0,10
2917290,Owner,Yeni tikili,"['Ahmadli m.', 'Xatai r.', 'Ahmadli q.']",78000,AZN,2,72.0,15
2867508,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",350000,AZN,3,180.0,3
1982655,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",230000,AZN,2,80.0,11
2905202,Owner,Kohna tikili,"['28 May m.', 'Nasimi r.']",173000,AZN,3,70.0,3
2916961,Owner,Yeni tikili,"['20 Yanvar m.', 'Yasamal r.']",116500,AZN,2,55.0,10
2854308,Agentlik,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",360000,AZN,4,192.0,6
2917284,Owner,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",185000,AZN,3,120.0,13
2917283,Agentlik,Kohna tikili,"['Nasimi m.', 'Binaqadi r.', '6-ci mikrorayon q.']",75000,AZN,2,55.0,1
2917282,Owner,Yeni tikili,"['Absheron r.', 'Masazir q.']",50000,AZN,3,60.0,6
2912046,Agentlik,Yeni tikili,['Nasimi r.'],224000,AZN,3,130.0,9
2917280,Owner,Kohna tikili,"['Yasamal r.', 'Yeni Yasamal q.']",105000,AZN,4,110.0,9
2917279,Owner,Kohna tikili,"['Memar Acami m.', '20 Yanvar m.', 'Nasimi r.']",56000,AZN,2,32.0,5
2890475,Agentlik,Yeni tikili,"['8 Noyabr m.', 'Nasimi r.']",155000,AZN,3,145.0,19
2911823,Agentlik,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '3-cu mikrorayon q.']",92000,AZN,2,55.0,4
2910885,Agentlik,Kohna tikili,"['20 Yanvar m.', 'Memar Acami m.', 'Nasimi r.', '2-ci mikrorayon q.']",67000,AZN,2,40.0,2
2917277,Agentlik,Kohna tikili,"['Sahil m.', 'Ichari Shahar m.', 'Sabail r.']",218000,AZN,2,73.0,2
2917276,Owner,Yeni tikili,"['Neftchilar m.', 'Nizami r.']",265000,AZN,4,179.0,10
2907860,Owner,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",279000,AZN,3,130.0,6
2917274,Owner,Yeni tikili,['Narimanov r.'],219500,AZN,3,118.0,3
2860733,Agentlik,Kohna tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",123500,AZN,3,85.0,9
2915985,Owner,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",185000,AZN,4,110.0,16
2890746,Owner,Yeni tikili,"['Sabunchu r.', 'Nardaran q.']",327500,AZN,2,123.6,1
2898312,Owner,Kohna tikili,"['Nizami r.', '8-ci kilometr q.']",85000,AZN,2,45.0,2
2729648,Owner,Yeni tikili,['Nasimi r.'],450000,AZN,3,178.0,6
2860733,Agentlik,Kohna tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",123500,AZN,3,85.0,9
2917268,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",370000,AZN,4,181.0,2
2917267,Agentlik,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.']",214000,AZN,3,100.0,15
2917266,Owner,Yeni tikili,"['Neftchilar m.', 'Nizami r.']",108000,AZN,2,62.0,14
2851104,Agentlik,Yeni tikili,"['Nasimi r.', '3-cu mikrorayon q.']",105000,AZN,2,65.0,13
2861523,Agentlik,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",168000,AZN,3,119.0,11
2762774,Agentlik,Yeni tikili,['Yasamal r.'],270000,AZN,3,120.0,12
2815718,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.', 'Yasamal q.']",225000,AZN,3,104.0,15
2856249,Agentlik,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '3-cu mikrorayon q.']",84500,AZN,2,57.1,3
2917161,Owner,Yeni tikili,"['Sabail r.', 'Bayil q.']",99000,AZN,2,50.0,15
2814748,Owner,Yeni tikili,['Yasamal r.'],294000,AZN,3,154.6,5
2881266,Owner,Yeni tikili,"['20 Yanvar m.', 'Yasamal r.']",112000,AZN,2,50.0,20
2917258,Owner,Yeni tikili,"['Nizami r.', '8-ci kilometr q.']",85000,AZN,2,51.0,11
